code;date;promotion;formation;specialite;genre;age  ;nationalite;bac;csp;reponse;situation_mars;recherche_emploi_depuis;refus_plusieurs_emplois;type_etude;type_etude_autre;secteur_cifre;secteur_cifre_autre;intitule_formation;etablissement_formation;situation_represente;situation_represente_autre;egalement_recherche_emploi;premier_emploi_depuis_diplome;situation;situation_inactive_depuis;num_emploi;temps_pour_premier_emploi;moyen_trouver_emploi;moyen_trouver_emploi_autre;employeur;employeur_autre;secteur_activite_organisme;type_emploi;type_emploi_autre;type_volontariat;type_volontariat_autre;statut_emploi;condition_depart_entrprise;condition_depart_entreprise_autre;objectif_premier_emploi;objectif_premier_emploi_autre;intitule_emploi;responsabilite_hierarchique;responsabilite_projet;responsabilite_equipe;responsabilite_budget;mission_rse;mission_rse_environnement;mission_rse_egalite;mission_rse_handicap;mission_rse_ouverture;mission_rse_ethique;mission_rse_autre;moyen_trouver_emploi_2;moyen_trouver_emploi_autre_2;critere_principal;critere_principal_autre;duree_trouver_emploi;employeur_2;employeur_2_autre;employeur_2_type;taille_organisme_2;secteur_activite_organisme_2;type_emploi_2;statut_emploi_autre_2;createur_entreprise;activite_principale;type_volontariat_2;type_volontariat_autre_2;statut_emploi_2;fonction_emploi_2;fonction_emploi_autre_2;temps_travail;heure_par_semaine;teletravail;moyenne_jours_teletravail;departement;pays;ville;emploi_represente_2;emploi_represente_autre_2;recherche_emploi;raison_recherche_emploi
22FDI355OM;mars-23;2022;Diplôme d'Ingénieur Polytech 5ème année (Mécanique);Mécanique;M;22;FRANCAIS(E);Bac S;48;Oui;En activité professionnelle;;;;;;;;;;;;;;;1er emploi depuis votre sortie de l'école*;;;;;;;;;;;;;;;;Ingénieur d’affaires;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Oui;;Relations personnelles;;Les perspectives de croissance de l'entreprise;;1;Une entreprise privée;;Société de conseil / d'ingénierie ou Bureau d'études indépendant;De 50 à 99 salariés;Energie;CDI;;;;;;Cadre;Ingénieur(e) d'affaires, responsables d'affaires;;Temps plein;;Non;;69;;Villeurbanne;Le véritable emploi que vous recherchiez;;Non;
22MDI283LE;mars-23;2022;Diplôme d'Ingénieur Polytech 5ème année (Informatique);Informatique;M;22;FRANCAIS(E);Bac ES;54;Oui;En activité professionnelle;;;;;;;;;;;;;;;1er emploi depuis votre sortie de l'école*;;;;;;;;;;;;;;;;Ingénieur développement;Non;Non;Non;Non;Non;;;;;;;Stage de fin d'études;;L'adéquation entre projet professionnel et emploi;;0;Une entreprise privée;;ESN (Entreprise de Services du Numérique – anciennement SSII);De 500 à 1 999 salariés;Activités informatiques et service d'information;CDI;;;;;;Cadre;Autre;Tierce Maintenance Applicative;Temps plein;;Oui;1;69;;Villeurbanne;Le véritable emploi que vous recherchiez;;Non;
22NDI276HO;mars-23;2022;Diplôme d'Ingénieur Polytech 5ème année (Informatique);Informatique;M;22;FRANCAIS(E);Bac S;38;Oui;En activité professionnelle;;;;;;;;;;;;;;;1er emploi depuis votre sortie de l'école*;;;;;;;;;;;;;;;;Data Scientist;Non;Non;Non;Non;Non;;;;;;;Stage de fin d'études;;L'adéquation entre projet professionnel et emploi;;0;Une entreprise privée;;Aucune des trois propositions;50 000 salariés et plus;Industrie automobile, aéronautique, navale, ferroviaire;CDI;;;;;;Cadre;Recherche-Développement, études scientifiques et techniques;;Temps plein;;Oui;2;69;;Villeurbanne;Le véritable emploi que vous recherchiez;;Non;
22PDI273OU;mars-23;2022;Diplôme d'Ingénieur Polytech 5ème année (Informatique);Informatique;M;22;FRANCAIS(E);Bac S;42;Oui;En activité professionnelle;;;;;;;;;;;;;;;1er emploi depuis votre sortie de l'école*;;;;;;;;;;;;;;;;Ingénieur Recherche et Développement;Non;Non;Non;Non;Non;;;;;;;Stage de fin d'études;;La politique globale des ressources humaines;;0;Une entreprise privée;;ESN (Entreprise de Services du Numérique – anciennement SSII);De 100 à 249 salariés;Industries des technologies de l’information, Entreprises de Services Numériques;CDI;;;;;;Cadre;Etudes et développement en systèmes d'information;;Temps plein;;Oui;2;69;;Villeurbanne;Le véritable emploi que vous recherchiez;;Non;
22BDI333OU;mars-23;2022;Diplôme d'Ingénieur Polytech 5ème année (Mécanique);Mécanique;M;23;FRANCAIS(E);Bac S;61;Oui;En activité professionnelle;;;;;;;;;;;;;;;1er emploi depuis votre sortie de l'école*;;;;;;;;;;;;;;;;Ingénieur informatique;Non;Non;Non;Non;Oui;Non;Oui;Oui;Oui;Oui;;Réseaux sociaux professionnels (Viadéo, Linkedin);;Autre;Le domaine informatique;3;Une entreprise privée;;ESN (Entreprise de Services du Numérique – anciennement SSII);De 500 à 1 999 salariés;Activités informatiques et service d'information;CDI;;;;;;Cadre;Informatique industrielle et technique;;Temps plein;;Oui;1;69;;Villeurbanne;Un emploi satisfaisant mais lié à la conjoncture;;Non;
22DDI266RI;mars-23;2022;Diplôme d'Ingénieur Polytech 5ème année (Informatique);Informatique;M;24;FRANCAIS(E);Bac S;31;Oui;En activité professionnelle;;;;;;;;;;;;;;;1er emploi depuis votre sortie de l'école*;;;;;;;;;;;;;;;;Ingénieur Recherche et Développement;Non;Oui;Non;Non;Non;;;;;;;Démarché par un chasseur de têtes;;L'adéquation entre projet professionnel et emploi;;0;Une entreprise privée;;ESN (Entreprise de Services du Numérique – anciennement SSII);De 500 à 1 999 salariés;Industries des technologies de l’information, Entreprises de Services Numériques;CDI;;;;;;Cadre;Etudes et développement en systèmes d'information;;Temps plein;;Oui;0;69;;Villeurbanne;Un emploi satisfaisant mais lié à la conjoncture;;Non;
22CDI385AR;mars-23;2022;Diplôme d'Ingénieur Polytech 5ème année (Maths appliquées);Maths appliquées;F;22;FRANCAIS(E);Bac S;38;Oui;En activité professionnelle;;;;;;;;;;;;;;;1er emploi depuis votre sortie de l'école*;;;;;;;;;;;;;;;;Energy Manager;Oui;Oui;Non;Non;Non;;;;;;;Réseaux sociaux professionnels (Viadéo, Linkedin);;Les perspectives de croissance de l'entreprise;;2;Une entreprise privée;;Aucune des trois propositions;De 20 à 49 salariés;Energie;CDI;;;;;;Cadre;Commercial;;Temps plein;;Oui;5;33;;Bordeaux;Le véritable emploi que vous recherchiez;;Non;
22GDI272AB;mars-23;2022;Diplôme d'Ingénieur Polytech 5ème année (Informatique);Informatique;M;22;FRANCAIS(E);Bac S;48;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22EDI359AR;mars-23;2022;Diplôme d'Ingénieur Polytech 5ème année (Mécanique);Mécanique;F;22;MAROCAIN(E);Bac étranger;76;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22GDI274AL;mars-23;2022;Diplôme d'Ingénieur Polytech 5ème année (Informatique);Informatique;M;23;FRANCAIS(E);Bac S;74;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
