centre;composante;iae_etape_code;iae_version_code;iae_etape_lib;id_polytech;redoublant;sexe;age;nationalite;bac;bac_annee;bac_mention;bac_lieu;titre_access;titre_acces_iea;titre_acces_pays;Boursier ;dernier_etablissement_code;dernier_etablissement_lib;premier_etablissement_code;premier_etablissement_lib;type_dernier_diplome_code;type_dernier_diplome_lib;regime_inscription
POLYTECH;POLYTECH;PL04IF;114;Ingénieur Polytech 4A IF;2122INGIF041;N;M;21;TUNISIEN(NE);SVT-ISN;2018;Bien;Rhône;; ;; ;0691774D;U_LYON 1;0691774D;Université Lyon 1;001;Baccalaureat (Français);initiale
POLYTECH;POLYTECH;PL05IF;114;Ingénieur Polytech 5A IF;2122INGIF042;N;M;22;FRANCAIS(E);S-STI;2017;Très bien;Rhône;; ;; ;0691774D;U_LYON 1;0691774D;Université Lyon 1;001;Baccalaureat (Français);cont pro
POLYTECH;POLYTECH;PL05ME;114;Ingénieur Polytech 5A MEC;2122INGMECA050;N;M;22;FRANCAIS(E);SVT-MA;2017;Bien;Hte Savoie;; ;;Oui;0691774D;U_LYON 1;0730858L;Université Savoie Mont Blanc;001;Baccalaureat (Français);initiale
POLYTECH;POLYTECH;PL04MA;114;Ingénieur Polytech 4A MAT;2122INGMAT032;N;F;23;FRANCAIS(E);SVT-ISN;2016;Assez bien;Rhône;; ;;Oui;0691774D;U_LYON 1;0691774D;Université Lyon 1;040;Licence;initiale
POLYTECH;POLYTECH;PL04GB;114;Ingénieur Polytech 4A GB;2122INGGBM045;N;M;23;FRANCAIS(E);SVT-SV;2016;Bien;Rhône;; ;; ;0691774D;U_LYON 1;0691774D;Université Lyon 1;900;Aucun diplôme supérieur;initiale
POLYTECH;POLYTECH;PL04GI;118;Ingénieur Polytech 4A GI;2122INGSIR032;N;M;21;FRANCAIS(E);STI2D_ITEC;2018;Bien;Isère;; ;;Oui;0691774D;U_LYON 1;0383493R;Université Grenoble Alpes;011;DUT;initiale
POLYTECH;POLYTECH;PL05IF;114;Ingénieur Polytech 5A IF;2122INGIF043;N;F;22;FRANCAIS(E);SVT-MA;2017;Bien;Côte d'Or;; ;; ;0691774D;U_LYON 1;0211237F;Université de Bourgogne;012;Attestation délivrée à la suite d'un cursus en CPGE;initiale
POLYTECH;POLYTECH;PL03MM;114;Ingénieur Polytech 3A MAP;2122INGMAM032;N;F;18;FRANCAIS(E);SVT-MA;2019;Bien;Essonne;; ;; ;0912330N;PARIS SACL;0912330N;Université Paris-Saclay;001;Baccalaureat (Français);initiale
POLYTECH;POLYTECH;PL05GI;118;Ingénieur Polytech 5A GI;2122INGSIR033;O;M;23;BURKINABE;SVT-MA;2016;Très bien;Etranger;; ;; ;0691774D;U_LYON 1;0691774D;Université Lyon 1;900;Aucun diplôme supérieur;initiale
POLYTECH;POLYTECH;PL04GI;118;Ingénieur Polytech 4A GI;2122INGSIR034;N;M;27;CAMEROUNAIS(E);0031-étran;2011;Passable;Etranger;MASTER R;Externe;ESSONNE; ;0911494E;ESE GIF/YV;0912330N;Université Paris-Saclay;072;MASTER;initiale
