id_polytech_inter;sexe;filiere;cursus;nationalite;diplome;stage_3a;stage_4a;s9_5a;stage_5a;double_diplome;sejourt_court;cesure;substitution;nb_mois_stage;nb_mois_etude;commentaires;total
2122_INTER_IF020;M;INFO;FISE;FRANCAIS(E);oui;;;;5;;;;;5;0;;5
2122_INTER_IF021;M;INFO;FISE;FRANCAIS(E);oui;;;;5;;;;;5;0;;5
2122_INTER_IF022;M;INFO;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_IF023;M;INFO;FISE;FRANCAIS(E);oui;;;;5;;;;;5;0;;5
2122_INTER_IF024;M;INFO;FISE;FRANCAIS(E);oui;;;;5;;;;;5;0;;5
2122_INTER_IF025;M;INFO;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_IF026;M;INFO;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_IF027;F;INFO;Cpro;FRANCAIS(E);;;;;;;;;MOOC;0;0;;0
2122_INTER_IF028;M;INFO;FISE;FRANCAIS(E);oui;;;;5;;;;;5;0;;5
2122_INTER_IF029;M;INFO;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_IF030;M;INFO;fISE;FRANCAIS(E);;;5;5;;;;;;5;5;;10
2122_INTER_IF031;F;INFO;FISE;FRANCAIS(E);oui;;;5;;;;;;0;5;;5
2122_INTER_IF032;M;INFO;FISE;FRANCAIS(E);oui;;;5;;;;;;0;5;;5
2122_INTER_IF033;M;INFO;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_IF034;M;INFO;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_IF035;M;INFO;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_IF036;M;INFO;FISE;FRANCAIS(E);oui;;;;;;;;;0;4;;4
2122_INTER_IF037;M;INFO;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_IF038;M;INFO;FISE;FRANCAIS(E);oui;;;;5,5;;;;;5,5;0;;5,5
2122_INTER_IF039;M;INFO;Cpro;FRANCAIS(E);oui;;4,5;;;;;;;4,5;0;;4,5
2122_INTER_MAT001;M;MAT;FISE;FRANCAIS(E);oui;;;;;0;;;MOOC;0;0;;0
